UTC Time,Latitude,Longitude,GForce,satCount
134800,51.467943,5.374531,0.04,20
134800,51.467943,5.374531,0.05,20
134800,51.467943,5.374531,0.05,20
134800,51.467943,5.374531,0.04,20
134800,51.467943,5.374531,0.05,20
134800,51.467943,5.374531,0.04,20
134800,51.467943,5.374531,0.05,20
134800,51.467943,5.374531,0.05,20
134800,51.467943,5.374531,0.04,20
134800,51.467943,5.374531,0.04,20
134801,51.467943,5.374531,0.03,20
134801,51.467943,5.374531,0.04,20
134801,51.467943,5.374531,0.04,20
134801,51.467943,5.374531,0.05,20
134801,51.467943,5.374531,0.05,20
134801,51.467943,5.374531,0.03,20
134801,51.467943,5.374531,0.05,20
134801,51.467943,5.374531,0.04,20
134801,51.467943,5.374531,0.05,20
134801,51.467943,5.374531,0.04,20
134802,51.467943,5.374531,0.04,20
134802,51.467943,5.374531,0.04,20
134802,51.467943,5.374531,0.05,20
134802,51.467943,5.374531,0.04,20
134802,51.467943,5.374531,0.04,20
134802,51.467943,5.374531,0.05,20
134802,51.467943,5.374531,0.05,20
134802,51.467943,5.374531,0.05,20
134802,51.467943,5.374531,0.05,20
134802,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.05,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.05,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.05,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.04,20
134803,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.04,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.05,20
134804,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.05,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.05,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.03,20
134805,51.467943,5.374531,0.04,20
134805,51.467943,5.374531,0.03,20
134806,51.467943,5.374531,0.04,20
134806,51.467943,5.374531,0.03,20
134806,51.467943,5.374531,0.04,20
134806,51.467943,5.374531,0.05,20
134806,51.467943,5.374531,0.04,20
134806,51.467943,5.374531,0.05,20
134806,51.467943,5.374531,0.05,20
134806,51.467943,5.374531,0.05,20
134806,51.467943,5.374531,0.05,20
134806,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.03,20
134807,51.467943,5.374531,0.03,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.04,20
134807,51.467943,5.374531,0.05,20
134808,51.467943,5.374531,0.04,20
134808,51.467943,5.374531,0.04,20
134808,51.467943,5.374531,0.05,20
134808,51.467943,5.374531,0.04,20
134808,51.467943,5.374531,0.05,20
134808,51.467943,5.374531,0.05,20
134808,51.467943,5.374531,0.04,20
134808,51.467943,5.374531,0.05,20
134808,51.467943,5.374531,0.04,20
134808,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.05,20
134809,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.05,20
134809,51.467943,5.374531,0.05,20
134809,51.467943,5.374531,0.04,20
134809,51.467943,5.374531,0.05,20
134809,51.467943,5.374531,0.06,20
134810,51.467943,5.374531,0.05,20
134810,51.467943,5.374531,0.05,20
134810,51.467943,5.374531,0.03,20
134810,51.467943,5.374531,0.04,20
134810,51.467943,5.374531,0.04,20
134810,51.467943,5.374531,0.05,20
134810,51.467943,5.374531,0.03,20
134810,51.467943,5.374531,0.04,20
134810,51.467943,5.374531,0.04,20
134810,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.05,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.03,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.04,20
134811,51.467943,5.374531,0.05,20
134812,51.467943,5.374531,0.05,20
134812,51.467943,5.374531,0.05,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.05,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.04,20
134812,51.467943,5.374531,0.03,20
134813,51.467943,5.37453,0.04,20
134813,51.467943,5.37453,0.05,20
134813,51.467943,5.37453,0.04,20
134813,51.467943,5.37453,0.05,20
134813,51.467943,5.37453,0.03,20
134813,51.467943,5.37453,0.04,20
134813,51.467943,5.37453,0.03,20
134813,51.467943,5.37453,0.04,20
134813,51.467943,5.37453,0.05,20
134813,51.467943,5.37453,0.05,20
134814,51.467943,5.374531,0.05,20
134814,51.467943,5.374531,0.05,20
134814,51.467943,5.374531,0.04,20
134814,51.467943,5.374531,0.04,20
134814,51.467943,5.374531,0.03,20
134814,51.467943,5.374531,0.03,20
134814,51.467943,5.374531,0.05,20
134814,51.467943,5.374531,0.04,20
134814,51.467943,5.374531,0.04,20
134814,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.05,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.04,20
134815,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.04,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.04,20
134816,51.467943,5.374531,0.05,20
134816,51.467943,5.374531,0.03,20
134816,51.467943,5.374531,0.03,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.04,20
134817,51.467943,5.374531,0.05,20
134817,51.467943,5.374531,0.04,20
134818,51.467943,5.374531,0.03,20
134818,51.467943,5.374531,0.04,20
134818,51.467943,5.374531,0.05,20
134818,51.467943,5.374531,0.04,20
134818,51.467943,5.374531,0.05,20
134818,51.467943,5.374531,0.05,20
134818,51.467943,5.374531,0.04,20
134818,51.467943,5.374531,0.05,20
134818,51.467943,5.374531,0.03,20
134818,51.467943,5.374531,0.04,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.03,20
134819,51.467943,5.37453,0.05,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.05,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.04,20
134819,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.05,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.05,20
134820,51.467943,5.37453,0.04,20
134820,51.467943,5.37453,0.05,20
134821,51.467943,5.37453,0.05,20
134821,51.467943,5.37453,0.04,20
134821,51.467943,5.37453,0.05,20
134821,51.467943,5.37453,0.04,20
134821,51.467943,5.37453,0.03,20
134821,51.467943,5.37453,0.04,20
134821,51.467943,5.37453,0.05,20
134821,51.467943,5.37453,0.04,20
134821,51.467943,5.37453,0.03,20
134821,51.467943,5.37453,0.05,20
134822,51.467942,5.37453,0.04,20
